<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
be	8226
i	5961
the	5045
to	4311
you	4137
a	3263
do	3167
not	2897
have	2430
he	2309
tom	2013
in	1594
it	1577
of	1450
my	1304
she	1287
me	1185
this	1168
that	1167
for	1086
go	1058
we	1006
will	915
what	858
your	821
like	781
on	779
at	750
his	749
get	656
with	655
want	632
know	621
can	570
her	564
there	539
would	518
him	502
and	473
come	470
very	469
how	461
time	440
they	439
good	433
make	423
take	411
as	411
think	400
here	388
all	388
please	370
up	369
see	335
should	333
no	332
about	331
an	331
by	330
from	325
say	323
mary	321
tell	310
out	304
work	301
ca	298
book	298
give	291
look	287
could	276
when	269
day	265
let	260
where	258
one	256
if	255
school	248
eat	246
help	244
speak	238
need	236
now	234
english	233
car	231
year	227
us	226
who	226
last	223
some	220
play	219
than	217
home	214
much	210
leave	209
ask	205
why	205
father	200
old	196
so	194
more	194
too	191
live	191
any	191
just	190
buy	190
tomorrow	189
really	186
long	184
but	184
child	181
money	178
our	177
always	176
yesterday	176
many	175
people	171
room	170
well	170
talk	167
house	167
study	166
every	165
find	165
today	164
friend	163
new	160
read	160
back	159
use	159
hear	157
lot	157
something	157
right	156
two	155
love	155
stay	155
never	154
anything	153
may	149
next	149
must	146
wait	145
write	145
keep	144
night	141
man	140
mother	138
call	138
three	133
put	133
dog	132
before	127
after	125
watch	124
morning	120
try	120
still	118
down	117
late	117
over	116
walk	114
little	113
brother	112
or	112
letter	111
rain	111
feel	110
train	109
off	109
into	108
lose	108
problem	108
hard	107
way	106
french	106
happen	106
meet	106
thing	103
again	103
swim	103
plan	102
only	99
finish	99
run	98
drive	97
teacher	97
turn	97
soon	97
believe	97
nothing	97
water	96
stop	96
japan	95
life	95
door	95
job	95
boy	94
name	94
wish	94
understand	94
bus	93
question	92
away	91
their	91
happy	90
ten	90
often	90
these	89
first	88
week	88
drink	87
saw	86
cold	85
arrive	83
them	82
seem	82
open	82
sister	82
wo	81
party	81
student	81
boston	79
bad	79
change	79
sunday	79
busy	79
afraid	79
station	78
doctor	78
big	78
wrong	77
